Peptic ulceration
=================
76125	Cautery resect gastric ulcer
761D5	Endo inj haemostas duod ulcer
761D500	Endo inj haemostas duod ulcer
761D6	Endo inj haemost gastric ulcer
761J.	Gastric ulcer operations
761J0	Closure perforat gastric ulcer
761J000	Closure perforat gastric ulcer
761J1	Closure of gastric ulcer NEC
761J111	Closure of gastric ulcer NEC
761Jy	Gastric ulcer operation OS
761Jz	Gastric ulcer operation NOS
761Jz00	Gastric ulcer operation NOS
7627.	Operations on duodenal ulcer
76270	Closure perforate duoden ulcer
7627000	Closure perforate duoden ulcer
76271	Suture of duodenal ulcer NEC
76272	Oversew blood vessel duo ulcer
7627200	Oversew blood vessel duo ulcer
7627y	Duodenal ulcer operation OS
7627y00	Duodenal ulcer operation OS
7627z	Duodenal ulcer operation NOS
7627z00	Duodenal ulcer operation NOS
14C1.	H/O: peptic ulcer
J1020	Peptic ulcer of oesophagus
J102000	Peptic ulcer of oesophagus
J11..	Gastric ulcer - (GU)
J110.	Acute gastric ulcer
J1100	Acute GU + no complication
J1101	Acute GU + haemorrhage
J110100	Acute GU + haemorrhage
J110111	Acute GU + haemorrhage
J1102	Acute GU + perforation
J110200	Acute GU + perforation
J1103	Acute GU + h'ge + perforation
J1104	Acute GU + obstruction
J110y	Acute GU unspecified
J110z	Acute gastric ulcer NOS
J110z00	Acute gastric ulcer NOS
J111.	Chronic gastric ulcer
J1110	Chronic GU + no complication
J1111	Chronic GU + haemorrhage
J1112	Chronic GU + perforation
J111200	Chronic GU + perforation
J111211	Chronic GU + perforation
J1113	Chronic GU + h'ge + perforat.
J1114	Chronic GU + obstruction
J111y	Chronic GU unspecified
J111z	Chronic gastric ulcer NOS
J111z00	Chronic gastric ulcer NOS
J112.	Anti-platelet induced gast ulc
J112z	Anti-plate induc gast ulc NOS
J113.	NSAID induced gastric ulcer
J113z	NSAID induced gastric ulc NOS
J11y.	Unspecified gastric ulcer
J11y0	Unspecif. GU + no complication
J11y1	Unspec. GU + haemorrhage
J11y2	Unspec. GU + perforation
J11y3	Unspec. GU + h'ge + perforat.
J11y4	Unspec. GU + obstruction
J11yy	Unspec.GU; unspec.h'ge/perf.
J11yz	Unspecified gastric ulcer NOS
J11yz00	Unspecified gastric ulcer NOS
J11z.	Gastric ulcer NOS
J12..	Duodenal ulcer - (DU)
J120.	Acute duodenal ulcer
J1200	Acute DU + no complication
J1201	Acute DU + haemorrhage
J120100	Acute DU + haemorrhage
J1202	Acute DU + perforation
J120200	Acute DU + perforation
J1203	Acute DU + h'ge + perforation
J120300	Acute DU + h'ge + perforation
J1204	Acute DU + obstruction
J120y	Acute DU unspecified
J120z	Acute duodenal ulcer NOS
J120z00	Acute duodenal ulcer NOS
J121.	Chronic duodenal ulcer
J1210	Chronic DU + no complication
J121000	Chronic DU + no complication
J1211	Chronic DU + haemorrhage
J121100	Chronic DU + haemorrhage
J121111	Chronic DU + haemorrhage
J1212	Chronic DU + perforation
J121200	Chronic DU + perforation
J121211	Chronic DU + perforation
J1213	Chronic DU + h'ge + perforat.
J1214	Chronic DU + obstruction
J121400	Chronic DU + obstruction
J121y	Chronic DU unspecified
J121z	Chronic duodenal ulcer NOS
J121z00	Chronic duodenal ulcer NOS
J122.	Duodenal ulcer disease
J123.	Duodenal erosion
J124.	Recurrent duodenal ulcer
J125.	Anti-platelet induced duod ulc
J125z	Anti-plate induc duod ulc NOS
J126.	NSAID induced duodenal ulcer
J126z	NSAID induced duoden ulc NOS
J12y.	Unspecified duodenal ulcer
J12y0	Unspec. DU + no complication
J12y1	Unspec. DU + haemorrhage
J12y100	Unspec. DU + haemorrhage
J12y2	Unspec. DU + perforation
J12y200	Unspec. DU + perforation
J12y3	Unspec. DU + h'ge + perforat.
J12y4	Unspec. DU + obstruction
J12yy	Unspec.DU; unspec.h'ge/perf.
J12yz	Unspecified duodenal ulcer NOS
J12z.	Duodenal ulcer NOS
J13..	Peptic ulcer - (PU) site unsp.
J130.	Acute peptic ulcer
J1300	Acute PU + no complication
J1301	Acute PU + haemorrhage
J130100	Acute PU + haemorrhage
J1302	Acute PU + perforation
J130200	Acute PU + perforation
J1303	Acute PU + h'ge + perforation
J1304	Acute PU + obstruction
J130y	Acute PU unspecified
J130y00	Acute PU unspecified
J130z	Acute peptic ulcer NOS
J130z00	Acute peptic ulcer NOS
J131.	Chronic peptic ulcer
J1310	Chronic PU + no complication
J1311	Chronic PU + haemorrhage
J1312	Chronic PU + perforation
J1313	Chronic PU + h'ge + perforat.
J1314	Chronic PU + obstruction
